class	rank	user_id	class_point
1	1	WA_TLE	+15.556
1	2	bono	+11.314
1	3	fuppy	+10.733
1	4	tardigrade	+10.733
1	5	yokozuna57	+7.155
1	6	penpenpen	+4.619
1	7	wanui	+2.828
1	8	eijirou	+2.000
1	9	matsu7874	0.000
1	10	nikuroll	-6.261
1	11	tkzw_21	-8.050
1	12	physics0523	-9.899
2	13	phocom	+10.392
2	14	square1001	+9.899
2	15	fmhr	+9.238
2	16	terry_u16	+5.774
2	17	y_kawano	+5.657
2	18	Aqua3k	+4.243
2	19	assy	+0.894
2	20	TAB	0.000
2	21	kusano	-1.414
2	22	Ackvy	-2.000
2	23	montplusa	-7.155
2	24	poka	-11.314
3	25	E869120	+25.403
3	26	iwashi31	+11.000
3	27	i8fbnkyw	+9.899
3	28	hari64	+9.899
3	29	totori0908	+9.238
3	30	takumi152	+8.083
3	31	fkyrz_	+7.071
3	32	gazelle	+5.657
3	33	daisyo	+4.243
3	34	snuke	+4.000
3	35	TumoiYorozu	0.000
3	36	toyamaguchi	0.000
3	37	threecourse	-5.367
3	38	oginom	-5.657
3	39	souta_1326	-8.000
3	40	sumoru	-10.392
3	41	titia	-11.314
3	42	kotamanegi	-11.628
4	43	Yu_212	+26.558
4	44	unsre	+17.000
4	45	uni_kakurenbo	+17.000
4	46	Shun_PI	+14.142
4	47	hassybirobiro	+10.392
4	48	jjjjjjjtgpptmjj	+9.238
4	49	sinofseven	+8.944
4	50	ikoma	+8.000
4	51	hiikunZ	+7.071
4	52	allegrogiken	+7.071
4	53	shama	+7.071
4	54	ChiyosBigDragon	+6.261
4	55	yutapon777	+5.657
4	56	ao1415	+4.243
4	57	rastel	+3.464
4	58	cho57020	+3.000
4	59	wkwk117	+1.414
4	60	a9ua1i0n	-1.414
4	61	ntk_ta01	-5.000
4	62	longrun	-12.728
4	63	hiroh	-16.971
4	64	fujiyama	-18.385
4	65	EvbCFfp1XB	-24.042
4	66	FplusFplusF	-28.284
5	67	Assuming	+16.971
5	68	lum1narie	+14.142
5	69	KowerKoint	-5.657
5	70	spady	-8.485
